and.m4a	00:00:01.01
d_0.m4a	00:00:01.08
d_1.m4a	00:00:01.13
d_10.m4a	00:00:01.18
d_100.m4a	00:00:01.27
d_11.m4a	00:00:01.22
d_12.m4a	00:00:01.22
d_13.m4a	00:00:01.22
d_14.m4a	00:00:01.27
d_15.m4a	00:00:01.25
d_16.m4a	00:00:01.22
d_17.m4a	00:00:01.25
d_18.m4a	00:00:01.27
d_19.m4a	00:00:01.46
d_2.m4a	00:00:01.06
d_20.m4a	00:00:01.22
d_200.m4a	00:00:01.37
d_21.m4a	00:00:01.66
d_22.m4a	00:00:01.54
d_23.m4a	00:00:01.61
d_24.m4a	00:00:01.49
d_25.m4a	00:00:01.54
d_26.m4a	00:00:01.61
d_27.m4a	00:00:01.56
d_28.m4a	00:00:01.68
d_29.m4a	00:00:01.78
d_3.m4a	00:00:00.98
d_30.m4a	00:00:01.22
d_300.m4a	00:00:01.34
d_31.m4a	00:00:01.63
d_32.m4a	00:00:01.54
d_33.m4a	00:00:01.58
d_34.m4a	00:00:01.49
d_35.m4a	00:00:01.51
d_36.m4a	00:00:01.58
d_37.m4a	00:00:01.54
d_38.m4a	00:00:01.66
d_39.m4a	00:00:01.75
d_4.m4a	00:00:00.89
d_40.m4a	00:00:01.25
d_400.m4a	00:00:01.44
d_41.m4a	00:00:01.68
d_42.m4a	00:00:01.56
d_43.m4a	00:00:01.63
d_44.m4a	00:00:01.54
d_45.m4a	00:00:01.56
d_46.m4a	00:00:01.63
d_47.m4a	00:00:01.58
d_48.m4a	00:00:01.70
d_49.m4a	00:00:01.80
d_5.m4a	00:00:01.03
d_50.m4a	00:00:01.27
d_500.m4a	00:00:01.42
d_51.m4a	00:00:01.70
d_52.m4a	00:00:01.58
d_53.m4a	00:00:01.63
d_54.m4a	00:00:01.54
d_55.m4a	00:00:01.58
d_56.m4a	00:00:01.66
d_57.m4a	00:00:01.61
d_58.m4a	00:00:01.70
d_59.m4a	00:00:01.80
d_6.m4a	00:00:00.96
d_60.m4a	00:00:01.22
d_600.m4a	00:00:01.39
d_61.m4a	00:00:01.66
d_62.m4a	00:00:01.51
d_63.m4a	00:00:01.58
d_64.m4a	00:00:01.49
d_65.m4a	00:00:01.51
d_66.m4a	00:00:01.58
d_67.m4a	00:00:01.56
d_68.m4a	00:00:01.66
d_69.m4a	00:00:01.75
d_7.m4a	00:00:00.94
d_70.m4a	00:00:01.22
d_700.m4a	00:00:01.42
d_71.m4a	00:00:01.66
d_72.m4a	00:00:01.56
d_73.m4a	00:00:01.61
d_74.m4a	00:00:01.51
d_75.m4a	00:00:01.56
d_76.m4a	00:00:01.61
d_77.m4a	00:00:01.56
d_78.m4a	00:00:01.68
d_79.m4a	00:00:01.78
d_8.m4a	00:00:01.10
d_80.m4a	00:00:01.27
d_800.m4a	00:00:01.44
d_81.m4a	00:00:01.70
d_82.m4a	00:00:01.58
d_83.m4a	00:00:01.66
d_84.m4a	00:00:01.54
d_85.m4a	00:00:01.58
d_86.m4a	00:00:01.66
d_87.m4a	00:00:01.61
d_88.m4a	00:00:01.73
d_89.m4a	00:00:01.82
d_9.m4a	00:00:01.32
d_90.m4a	00:00:01.44
d_900.m4a	00:00:01.66
d_91.m4a	00:00:01.82
d_92.m4a	00:00:01.73
d_93.m4a	00:00:01.78
d_94.m4a	00:00:01.66
d_95.m4a	00:00:01.68
d_96.m4a	00:00:01.78
d_97.m4a	00:00:01.73
d_98.m4a	00:00:01.85
d_99.m4a	00:00:01.94
equals.m4a	00:00:01.46
minus.m4a	00:00:00.84
plus.m4a	00:00:00.98
times.m4a	00:00:00.91
